,ML,Low_90,High_90,state
2020-03-10,0.0,0.0,10.81,Delhi
2020-03-11,2.56,0.0,6.3100000000000005,Delhi
2020-03-12,2.4,0.0,4.96,Delhi
2020-03-13,2.27,0.09,4.3500000000000005,Delhi
2020-03-14,1.88,0.01,3.63,Delhi
2020-03-15,1.65,0.03,3.26,Delhi
2020-03-16,1.49,0.04,3.01,Delhi
2020-03-17,1.57,0.06,2.97,Delhi
2020-03-18,1.76,0.17,3.09,Delhi
2020-03-19,1.86,0.31,3.15,Delhi
2020-03-20,2.21,0.71,3.46,Delhi
2020-03-21,2.67,1.35,3.81,Delhi
2020-03-22,2.42,1.24,3.45,Delhi
2020-03-23,2.06,1.0,3.0500000000000003,Delhi
2020-03-24,1.88,0.86,2.81,Delhi
2020-03-25,1.74,0.76,2.64,Delhi
2020-03-26,1.8,0.84,2.66,Delhi
2020-03-27,1.62,0.67,2.44,Delhi
2020-03-28,1.61,0.68,2.41,Delhi
2020-03-29,1.84,0.96,2.63,Delhi
2020-03-30,2.86,2.04,3.58,Delhi
2020-03-31,2.45,1.74,3.12,Delhi
2020-04-01,3.14,2.46,3.71,Delhi
2020-04-02,3.33,2.74,3.83,Delhi
2020-04-03,2.26,1.72,2.72,Delhi
2020-04-04,4.28,3.82,4.7,Delhi
2020-04-05,2.83,2.42,3.18,Delhi
2020-04-06,1.95,1.54,2.28,Delhi
2020-04-07,1.79,1.39,2.12,Delhi
2020-04-08,1.34,0.94,1.66,Delhi
2020-04-09,1.76,1.39,2.09,Delhi
2020-04-10,2.61,2.27,2.91,Delhi
2020-04-11,1.57,1.24,1.85,Delhi
2020-04-12,1.98,1.66,2.25,Delhi
2020-04-13,1.67,1.38,1.94,Delhi
2020-04-14,2.56,2.28,2.8000000000000003,Delhi
2020-04-15,1.58,1.3,1.8,Delhi
2020-04-16,1.21,0.93,1.43,Delhi
2020-04-17,1.25,1.0,1.49,Delhi
2020-04-18,1.27,1.0,1.49,Delhi
2020-04-19,1.62,1.36,1.83,Delhi
2020-04-20,1.45,1.19,1.65,Delhi
2020-04-21,1.31,1.06,1.51,Delhi
2020-04-22,1.26,1.03,1.47,Delhi
2020-04-23,1.29,1.04,1.48,Delhi
2020-04-24,1.37,1.12,1.55,Delhi
2020-04-25,1.39,1.15,1.57,Delhi
2020-04-26,1.32,1.09,1.5,Delhi
2020-04-27,1.67,1.46,1.85,Delhi
2020-04-28,1.48,1.27,1.65,Delhi
2020-04-29,1.45,1.25,1.62,Delhi
2020-04-30,1.29,1.1,1.46,Delhi
2020-05-01,1.17,0.98,1.34,Delhi
2020-05-02,1.39,1.2,1.55,Delhi
2020-05-03,1.64,1.45,1.79,Delhi
2020-05-04,1.68,1.51,1.83,Delhi
2020-03-10,0.0,0.0,10.81,Haryana
2020-03-11,0.47,0.0,3.5,Haryana
2020-03-12,0.66,0.0,2.76,Haryana
2020-03-13,0.8200000000000001,0.0,2.44,Haryana
2020-03-14,0.87,0.0,2.25,Haryana
2020-03-15,0.89,0.0,2.13,Haryana
2020-03-16,0.89,0.0,2.05,Haryana
2020-03-17,1.0,0.0,2.06,Haryana
2020-03-18,1.17,0.09,2.2,Haryana
2020-03-19,1.12,0.05,2.09,Haryana
2020-03-20,1.09,0.05,2.03,Haryana
2020-03-21,1.06,0.03,1.97,Haryana
2020-03-22,1.31,0.18,2.24,Haryana
2020-03-23,1.55,0.42,2.5,Haryana
2020-03-24,1.54,0.47,2.47,Haryana
2020-03-25,1.42,0.37,2.3000000000000003,Haryana
2020-03-26,1.43,0.4,2.29,Haryana
2020-03-27,1.34,0.34,2.18,Haryana
2020-03-28,1.4,0.42,2.24,Haryana
2020-03-29,1.32,0.35000000000000003,2.13,Haryana
2020-03-30,1.37,0.44,2.2,Haryana
2020-03-31,1.45,0.54,2.27,Haryana
2020-04-01,1.46,0.5700000000000001,2.26,Haryana
2020-04-02,1.35,0.51,2.16,Haryana
2020-04-03,1.48,0.61,2.24,Haryana
2020-04-04,1.37,0.53,2.12,Haryana
2020-04-05,1.6,0.76,2.32,Haryana
2020-04-06,2.17,1.4,2.87,Haryana
2020-04-07,1.94,1.2,2.58,Haryana
2020-04-08,2.9,2.21,3.48,Haryana
2020-04-09,2.5,1.89,3.03,Haryana
2020-04-10,1.89,1.33,2.41,Haryana
2020-04-11,1.67,1.13,2.19,Haryana
2020-04-12,1.53,0.97,2.02,Haryana
2020-04-13,1.32,0.79,1.83,Haryana
2020-04-14,1.4,0.8300000000000001,1.87,Haryana
2020-04-15,1.24,0.68,1.71,Haryana
2020-04-16,1.22,0.68,1.7,Haryana
2020-04-17,1.13,0.58,1.6,Haryana
2020-04-18,1.35,0.8,1.81,Haryana
2020-04-19,1.3,0.77,1.76,Haryana
2020-04-20,1.17,0.64,1.62,Haryana
2020-04-21,1.36,0.8300000000000001,1.8,Haryana
2020-04-22,1.2,0.7000000000000001,1.65,Haryana
2020-04-23,1.21,0.6900000000000001,1.64,Haryana
2020-04-24,1.23,0.72,1.66,Haryana
2020-04-25,1.13,0.63,1.56,Haryana
2020-04-26,1.26,0.78,1.7,Haryana
2020-04-27,1.14,0.67,1.58,Haryana
2020-04-28,1.15,0.66,1.57,Haryana
2020-04-29,1.23,0.75,1.65,Haryana
2020-04-30,1.12,0.66,1.55,Haryana
2020-05-01,1.1,0.62,1.51,Haryana
2020-05-02,1.53,1.07,1.94,Haryana
2020-05-03,1.58,1.13,1.97,Haryana
2020-05-04,1.7,1.26,2.07,Haryana
2020-03-10,0.0,0.0,10.81,Karnataka
2020-03-11,11.57,4.36,12.0,Karnataka
2020-03-12,4.28,0.32,7.29,Karnataka
2020-03-13,4.09,0.94,6.76,Karnataka
2020-03-14,2.99,0.42,5.11,Karnataka
2020-03-15,2.46,0.27,4.3100000000000005,Karnataka
2020-03-16,2.15,0.14,3.77,Karnataka
2020-03-17,2.86,0.9,4.5200000000000005,Karnataka
2020-03-18,2.4,0.65,3.88,Karnataka
2020-03-19,2.46,0.9,3.87,Karnataka
2020-03-20,2.24,0.76,3.5,Karnataka
2020-03-21,1.99,0.63,3.19,Karnataka
2020-03-22,2.64,1.38,3.74,Karnataka
2020-03-23,2.65,1.53,3.65,Karnataka
2020-03-24,2.41,1.39,3.33,Karnataka
2020-03-25,2.23,1.28,3.09,Karnataka
2020-03-26,2.46,1.56,3.25,Karnataka
2020-03-27,2.04,1.2,2.79,Karnataka
2020-03-28,1.77,0.95,2.49,Karnataka
2020-03-29,2.19,1.41,2.89,Karnataka
2020-03-30,2.01,1.27,2.67,Karnataka
2020-03-31,1.7,1.01,2.36,Karnataka
2020-04-01,1.91,1.2,2.52,Karnataka
2020-04-02,1.81,1.12,2.39,Karnataka
2020-04-03,1.82,1.18,2.4,Karnataka
2020-04-04,1.61,0.97,2.16,Karnataka
2020-04-05,1.68,1.07,2.23,Karnataka
2020-04-06,1.55,0.95,2.08,Karnataka
2020-04-07,1.74,1.15,2.25,Karnataka
2020-04-08,1.45,0.88,1.95,Karnataka
2020-04-09,1.37,0.8,1.86,Karnataka
2020-04-10,1.45,0.88,1.93,Karnataka
2020-04-11,1.51,0.96,1.98,Karnataka
2020-04-12,1.45,0.91,1.91,Karnataka
2020-04-13,1.53,0.99,1.97,Karnataka
2020-04-14,1.43,0.93,1.88,Karnataka
2020-04-15,1.46,0.94,1.88,Karnataka
2020-04-16,1.67,1.17,2.08,Karnataka
2020-04-17,1.73,1.27,2.14,Karnataka
2020-04-18,1.54,1.07,1.92,Karnataka
2020-04-19,1.39,0.95,1.78,Karnataka
2020-04-20,1.29,0.87,1.69,Karnataka
2020-04-21,1.32,0.87,1.69,Karnataka
2020-04-22,1.24,0.8,1.61,Karnataka
2020-04-23,1.27,0.8300000000000001,1.63,Karnataka
2020-04-24,1.29,0.86,1.65,Karnataka
2020-04-25,1.34,0.94,1.71,Karnataka
2020-04-26,1.25,0.84,1.6,Karnataka
2020-04-27,1.19,0.77,1.53,Karnataka
2020-04-28,1.15,0.76,1.51,Karnataka
2020-04-29,1.16,0.75,1.5,Karnataka
2020-04-30,1.25,0.85,1.59,Karnataka
2020-05-01,1.24,0.84,1.57,Karnataka
2020-05-02,1.25,0.86,1.58,Karnataka
2020-05-03,1.16,0.79,1.5,Karnataka
2020-05-04,1.3,0.94,1.64,Karnataka
2020-03-10,0.0,0.0,10.81,Kerala
2020-03-11,5.45,2.4,8.0,Kerala
2020-03-12,2.86,0.77,4.62,Kerala
2020-03-13,2.44,0.75,3.91,Kerala
2020-03-14,2.0,0.54,3.28,Kerala
2020-03-15,2.0,0.65,3.16,Kerala
2020-03-16,1.83,0.61,2.92,Kerala
2020-03-17,1.84,0.6900000000000001,2.86,Kerala
2020-03-18,1.71,0.6,2.66,Kerala
2020-03-19,1.56,0.48,2.46,Kerala
2020-03-20,1.5,0.47,2.39,Kerala
2020-03-21,1.94,0.96,2.81,Kerala
2020-03-22,2.19,1.29,3.01,Kerala
2020-03-23,2.37,1.53,3.12,Kerala
2020-03-24,2.74,1.96,3.41,Kerala
2020-03-25,2.45,1.75,3.0700000000000003,Kerala
2020-03-26,2.13,1.49,2.73,Kerala
2020-03-27,2.1,1.46,2.65,Kerala
2020-03-28,2.36,1.78,2.9,Kerala
2020-03-29,1.9,1.31,2.38,Kerala
2020-03-30,1.83,1.26,2.3000000000000003,Kerala
2020-03-31,1.91,1.38,2.38,Kerala
2020-04-01,1.6,1.08,2.05,Kerala
2020-04-02,1.63,1.12,2.07,Kerala
2020-04-03,1.58,1.08,2.01,Kerala
2020-04-04,1.41,0.92,1.83,Kerala
2020-04-05,1.34,0.85,1.75,Kerala
2020-04-06,1.26,0.79,1.68,Kerala
